date,Appliances,lights,T1,T2,T3,T4,T5,T6,T7,T8,T9,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,hour,day_of_week,dow_num,is_weekend,date_only,month
2016-01-11 17:00:00,60,30,19.89,19.2,19.79,19.0,17.1666666666667,7.02666666666667,17.2,18.2,17.0333333333333,47.59666666666671,44.79,44.73,45.5666666666667,55.2,84.2566666666667,41.6266666666667,48.9,45.53,6.6,733.5,92.0,7.0,63.0,5.3,13.275433157104999,13.275433157104999,17,Monday,0,False,2016-01-11,January
2016-01-11 17:10:00,60,30,19.89,19.2,19.79,19.0,17.1666666666667,6.8333333333333295,17.2,18.2,17.0666666666667,46.69333333333329,44.7225,44.79,45.9925,55.2,84.06333333333329,41.56,48.863333333333294,45.56,6.48333333333333,733.6,92.0,6.66666666666667,59.16666666666669,5.2,18.606194981839508,18.606194981839508,17,Monday,0,False,2016-01-11,January
2016-01-11 17:20:00,50,30,19.89,19.2,19.79,18.9266666666667,17.1666666666667,6.56,17.2,18.2,17.0,46.3,44.6266666666667,44.933333333333294,45.89,55.09,83.1566666666667,41.433333333333294,48.73,45.5,6.36666666666667,733.7,92.0,6.3333333333333295,55.33333333333329,5.1,28.64266816759482,28.64266816759482,17,Monday,0,False,2016-01-11,January
2016-01-11 17:30:00,50,40,19.89,19.2,19.79,18.89,17.1666666666667,6.43333333333333,17.1333333333333,18.1,17.0,46.0666666666667,44.59,45.0,45.723333333333294,55.09,83.42333333333329,41.29,48.59,45.4,6.25,733.7999999999998,92.0,6.0,51.5,5.0,45.410389499738805,45.410389499738805,17,Monday,0,False,2016-01-11,January
2016-01-11 17:40:00,60,40,19.89,19.2,19.79,18.89,17.2,6.36666666666667,17.2,18.1,17.0,46.33333333333329,44.53,45.0,45.53,55.09,84.8933333333333,41.23,48.59,45.4,6.133333333333329,733.9,92.0,5.66666666666667,47.66666666666669,4.9,10.084096551872788,10.084096551872788,17,Monday,0,False,2016-01-11,January
2016-01-11 17:50:00,50,40,19.89,19.2,19.79,18.89,17.1333333333333,6.3,17.1333333333333,18.1,17.0,46.0266666666667,44.5,44.933333333333294,45.73,55.03,85.7666666666667,41.26,48.59,45.29,6.01666666666667,734.0,92.0,5.3333333333333295,43.83333333333329,4.8,44.91948424838483,44.91948424838483,17,Monday,0,False,2016-01-11,January
2016-01-11 18:00:00,60,50,19.89,19.2,19.79,18.89,17.1,6.263333333333329,17.1333333333333,18.1,17.0,45.7666666666667,44.5,44.9,45.79,54.9666666666667,86.09,41.2,48.59,45.29,5.9,734.1,92.0,5.0,40.0,4.7,47.233763430267565,47.233763430267565,18,Monday,0,False,2016-01-11,January
2016-01-11 18:10:00,60,50,19.8566666666667,19.2,19.73,18.89,17.1,6.19,17.1,18.1,17.0,45.56,44.5,44.9,45.863333333333294,54.9,86.42333333333329,41.2,48.59,45.29,5.91666666666667,734.1666666666669,91.8333333333333,5.16666666666667,40.0,4.68333333333333,33.03988962434232,33.03988962434232,18,Monday,0,False,2016-01-11,January
2016-01-11 18:20:00,60,40,19.79,19.2,19.73,18.89,17.1666666666667,6.1233333333333295,17.1666666666667,18.1,17.0,45.5975,44.433333333333294,44.79,45.79,55.0,87.2266666666667,41.4,48.59,45.29,5.93333333333333,734.233333333333,91.6666666666667,5.3333333333333295,40.0,4.66666666666667,31.455702194944024,31.455702194944024,18,Monday,0,False,2016-01-11,January
2016-01-11 18:30:00,70,40,19.8566666666667,19.23,19.79,18.89,17.1,6.19,17.2,18.1,17.0,46.09,44.4,44.863333333333294,46.09666666666671,55.0,87.6266666666667,41.5,48.59,45.29,5.95,734.2999999999998,91.5,5.5,40.0,4.65,3.089313523378223,3.089313523378223,18,Monday,0,False,2016-01-11,January
